ds,y,País,USD,yhat
2020-10-01,113.9626,112.5502,5.625790476190476,111.51540990940387
2020-11-01,125.4194,124.6481,5.417835,123.85034123153861
2020-12-01,122.7905,125.1981,5.1455863636363635,124.07715914188276
2021-01-01,133.6717,134.9602,5.3562449999999995,137.08716090415157
2021-02-01,152.519,153.2923,5.416494444444444,155.86610084609595
2021-03-01,161.6833,163.3967,5.646147826086957,164.80051093292758
2021-04-01,157.42,159.8982,5.562135,159.38103081056965
2021-05-01,166.4338,168.0332,5.291057142857143,169.97411130942427
2021-06-01,158.2963,162.0723,5.031904761904762,162.4765170422612
2021-07-01,159.4907,161.3341,5.156704545454546,162.05739649813506
2021-08-01,168.1278,168.5199,5.251718181818182,169.66864050588538
2021-09-01,171.0659,171.9873,5.279690476190477,172.66923821186674
2021-10-01,189.8088,185.2907,5.53998,187.42818648919445
2021-11-01,195.8246,192.5094,5.5568599999999995,193.47221315670083
2021-12-01,205.7892,203.017,5.651391304347826,205.45371868709307
2022-01-01,219.1342,214.9149,5.534104761904762,219.4660600026767
2022-02-01,225.9577,223.3996,5.196578947368421,226.8341031703837
2022-03-01,226.2972,224.5094,4.968381818181818,227.10993762816304
2022-04-01,232.758,231.7971,4.758015789473684,235.45087066262144
2022-05-01,256.1154,250.3256,4.95505,255.4803141862143
2022-06-01,246.8092,245.4188,5.049209523809524,247.126328499803
2022-07-01,196.2262,202.9606,5.368071428571429,200.34665915873745
2022-08-01,201.1839,201.4695,5.143286956521739,202.6579178398642
2022-09-01,200.7876,200.8798,5.236957142857143,200.5880758098553
2022-10-01,168.3429,173.0863,5.2503,168.9868395466587
2022-11-01,166.2698,165.1792,5.274649999999999,163.185435303997
2022-12-01,169.9158,168.9903,5.242431818181818,167.63855746460808
2023-01-01,170.6063,172.3117,5.200681818181819,172.02099720900358
2023-02-01,167.8927,171.7488,5.171688888888889,170.69893349374777
2023-03-01,156.5947,161.9688,5.211460869565218,159.60993169477194
2023-04-01,139.6951,148.4217,5.019733333333333,146.21959877760293
2023-05-01,123.8685,135.9509,4.9828363636363635,131.98383037966124
2023-06-01,126.589,135.2837,4.851566666666667,132.421172725911
2023-07-01,119.9369,128.5786,4.800833333333333,124.97411705291753
2023-08-01,127.3375,131.3944,4.903543478260869,128.2563296996508
2023-09-01,126.8067,131.2302,4.93699,127.69878181692414
2023-10-01,126.2074,131.9478,5.064842857142857,128.1715727245609
2023-11-01,121.4768,128.6497,4.89834,124.32696704500015
2023-12-01,122.0356,127.3394,4.897245,123.0540549091844
2024-01-01,123.6487,127.6128,4.9143954545454545,123.81293622335264
2024-02-01,127.7769,131.1154,4.964389473684211,127.46256630846818
2024-03-01,133.652,135.2243,4.980135,131.40867475098497
2024-04-01,125.664,131.0436,5.129095454545455,123.96687319713897
2024-05-01,121.0131,127.7394,5.133047619047619,123.61065927336422
2024-06-01,122.9271,127.7055,5.388975,124.2052343377459
2024-07-01,127.9005,132.34,5.542047826086956,128.42794414130847
2024-08-01,126.3239,131.6584,5.5526136363636365,126.97689743337624
2024-09-01,124.2184,129.1333,5.541566666666666,123.46525409934492
2024-10-01,0.0,106.15879698700383,5.975060752831005,98.78170943694101
2024-11-01,0.0,106.78884865800714,6.085330443305194,99.34270466990355
2024-12-01,0.0,108.04784360832218,6.145024602618274,101.3500489340937
2025-01-01,0.0,111.31265510916876,6.140933422956986,106.49947466540225
2025-02-01,0.0,113.9100266022285,6.067068823067634,108.11106919516757
2025-03-01,0.0,114.93394473463366,6.20324716357551,108.38078327808941
2025-04-01,0.0,115.69162772444264,6.221374022985427,108.18570166623374
2025-05-01,0.0,112.59886913809771,6.278681989332361,105.79361415278572
2025-06-01,0.0,111.8853557340944,6.258809925183008,105.30561236998928
2025-07-01,0.0,110.34530093381477,6.265314129730639,103.10487182499472
2025-08-01,0.0,110.25378237056428,6.326740646107463,102.75887519510405
2025-09-01,0.0,111.03541505087257,6.386194814870544,103.17457989053979
2025-10-01,0.0,110.09105280952014,6.334795864566979,101.95052204210243
2025-11-01,0.0,110.73069057532534,6.408273731607755,102.5240593481216
2025-12-01,0.0,111.96366569176284,6.46496176048811,104.24338136582803
2026-01-01,0.0,115.21437412524436,6.474642949635534,108.95782778962801
2026-02-01,0.0,117.79098633246072,6.455521436757617,110.80036354512715
2026-03-01,0.0,118.90666876163849,6.543147639719424,111.40153118056894
2026-04-01,0.0,119.64790684907666,6.551411452200414,112.17189220802837
2026-05-01,0.0,116.52360271404525,6.608162672843305,108.42737335539182
2026-06-01,0.0,115.84304710869947,6.6103489978784635,107.88022038548388
2026-07-01,0.0,114.2679472215433,6.602288925681413,105.950681412904
2026-08-01,0.0,114.19347237764843,6.674476291201532,105.57960332241157
2026-09-01,0.0,114.9786043249086,6.7460432164530335,106.38388009936085
