ds;USD;País;Último;Máxima;lag_Estadual
2004-03-01;2.8140781980455025;16.152116619883543;25683.304217956465;27237.786009671476;14.861894663964453
2004-04-01;2.7855861653584344;15.764325721094274;25357.93335550619;26226.675332179377;14.78142046695507
2004-05-01;2.809845766169006;15.332739607229472;24367.329239313287;26676.600333518993;14.514823757501915
2004-06-01;2.843008968796672;14.945879339851212;24818.182303911133;27957.934388468322;14.340675413009889
2004-07-01;2.7756564649185513;14.539473103804909;24278.24822983303;29170.25789684157;14.216929732559592
2004-08-01;2.6397761829142916;14.179741715368728;23469.334562191456;25762.871365872717;13.247558593543433
2004-09-01;2.613499414978553;14.649250668746577;23403.73883576614;25640.078838199188;13.28662848272045
2004-10-01;2.634949519247517;15.061080630673867;24569.907113458197;26074.012504983097;13.445789943775592
2004-11-01;2.668030415102618;15.450653940412517;24555.082566373185;26010.875745545964;13.641720533339234
2005-01-01;2.678043401273922;15.848249775534361;26837.15066787156;27957.256055126563;14.282473451171047
2005-02-01;2.510431442120951;15.632149532362401;27462.82378242686;28062.71337284919;14.30465227450317
2005-03-01;2.568511906759772;16.800070391528433;29277.85887143661;31119.162698002183;15.473966884065641
2005-04-01;2.574534093963579;16.64372421708942;29521.864456892796;30616.92782427726;15.636363069770738
2005-05-01;2.5690354916240414;16.34272594253219;29249.81128570538;31554.11492430038;15.43250969654257
2005-06-01;2.5872137584972945;16.068394831354674;29221.08515165003;32897.13566020805;15.249985589838815
2005-07-01;2.5269618249419263;15.632816187729432;28549.77573592213;33427.37101365029;15.180537755010684
2005-08-01;2.4157460896338163;15.263403021509749;27936.27277548078;30404.304087737113;14.231193031336561
2005-09-01;2.4107325638608903;15.681773354290982;27721.519507219597;30345.670108185554;14.15958641643907
2005-10-01;2.4349002867860507;15.974447295760612;29061.629439743632;30606.49423585101;14.292179133929661
2005-11-01;2.413155084766302;16.32528502810814;28741.1925264162;30574.3137757419;14.44408047841791
2005-12-01;2.4171544027008682;16.662178225276573;31394.438605906962;32124.887121925545;14.70148909185005
2006-01-01;2.421650715429532;16.954463822847554;31456.2469122956;32770.88831244207;15.235437675107145
2006-02-01;2.3318412201963343;17.108428787586792;32529.146175459144;33292.626047862;15.506764390792574
2006-03-01;2.3227287745772798;17.440220172949886;32863.56878259471;34991.50807170707;16.081644857596594
2006-04-01;2.363414802047321;17.526633467667327;33700.90988723488;35019.94564269835;16.49431237893099
2006-05-01;2.3277948452495405;17.3580527614743;34137.64140980704;36440.27453981529;16.352455928592477
2006-06-01;2.331932628573681;17.193843589351445;33617.63812979143;37829.73319421825;16.161004734426946
2006-07-01;2.2800198685624427;16.725683688691;32820.298372482364;37679.279833864406;16.144704654687146
2006-08-01;2.1940876089766865;16.344850559732603;32403.18838255963;35050.08635369084;15.213004753738801
2006-09-01;2.210061453968103;16.710335258452442;32038.990464799732;35050.36956142492;15.029678471222706
2006-10-01;2.235901153430855;16.885211773201675;33550.57867281669;35136.50771732855;15.137228167370914
2006-11-01;2.1595196482265506;17.20139601018179;32925.39679772255;35136.39688319859;15.247475927026603
2006-12-01;2.1522689933822248;17.621297481638848;35564.60160797511;36436.495324724776;15.57285154774035
2007-01-01;2.170079221373786;18.06758971897615;36085.765388106374;37594.86339989465;16.192638520582626
2007-02-01;2.1577979011189523;18.57967928478899;37583.87906105252;38512.53296752687;16.705196721166786
2007-03-01;2.0808983479012784;18.072969505543362;36441.313451155096;38855.61440549654;16.685227162400217
2007-04-01;2.1568255262272658;18.41333258448215;37895.41631894902;39436.08480008475;17.35540129552978
2007-05-01;2.0911854094585176;18.378739382359925;39030.28910040117;41334.685533835196;17.274654179648184
2007-06-01;2.0836543857717458;18.322078230038375;38007.71056581256;42755.316818359264;17.07369333138049
2007-07-01;2.0426648773201213;17.817926687665775;37089.921002239455;41926.29092461923;17.109323305341814
2007-08-01;1.9840004668028282;17.4239734061668;36870.04093613106;39700.241451163216;16.19288845560005
2007-09-01;2.0220575664000027;17.734928234429194;36356.18439104265;39754.06674534044;15.89692982148038
2007-10-01;2.0498935679631836;17.793549651583657;38036.7182286503;39664.126248161694;15.981044577232646
2007-11-01;1.920538358596922;18.07920832963322;37107.95560054742;39697.25471109998;16.05204956627322
2007-12-01;1.9097040365351843;18.586353112522797;39742.880669934384;40754.47232700154;16.448058703311382
2008-01-01;1.9485766036812437;19.187388177835576;40725.28014062901;42428.80277827887;17.153919364725898
2008-02-01;2.019487315447635;20.045385034970387;42626.303612112846;43721.753509267466;17.899617682356123
2008-03-01;1.9373582285509514;20.21832478143635;43227.02738526258;45623.12711599666;18.45738446275575
2008-04-01;1.9165284517388954;19.830533891040012;42901.656522317986;44612.01644157983;18.376910290405625
2008-05-01;1.94820313887978;19.39894778530033;41911.052405652845;45061.941445900804;18.11031360481761
2008-06-01;1.9890285973824848;19.01208752631784;42361.905469755075;46343.27550392849;17.936165284985638
2008-07-01;1.934351899751305;18.605681298484686;41821.97139602545;47555.58134731286;17.81241963090225
2008-08-01;1.8115699508691028;18.245949918533018;41013.05772874213;44148.17656252421;16.84304851912982
2008-09-01;1.7983915160555122;18.715458880398625;40947.462002679546;44025.36578103408;16.882118435552616
2008-10-01;1.8325174264791155;19.127288850267345;42113.630281436854;44459.28178213356;17.04127992343619
2008-11-01;1.8786966553604478;19.51686216821533;42098.80573545708;44396.12676816022;17.23721054072453
2008-12-01;1.9084388049793737;19.775147077127098;44775.924854271;46204.6405120291;17.429437154844468
2009-01-01;1.9144837954672247;19.91445801922874;44380.873838820386;46342.47113468364;17.877963525677398
2009-02-01;1.75997018409451;19.698357784005143;45006.54695417503;46447.91017503449;17.900142389300527
2009-03-01;1.8298814144707665;20.866278650352506;46821.58204390586;49504.34299159135;19.069457035256374
2009-04-01;1.8490019494557213;20.709932483864048;47065.58763016435;49002.08984049601;19.23185326125481
2009-05-01;1.8561791673433807;20.408934215523313;46793.53445948555;49939.259252841824;19.027999928544848
2009-06-01;1.8874557817852153;20.134603110770627;46764.80832595476;51282.261711485655;18.84547586371051
2009-07-01;1.8398796686529948;19.69902447875617;46093.49891011241;51812.47657432915;18.77603797034557
2009-08-01;1.7417622811159337;19.329611324538085;45479.99594956094;48789.38847480697;17.826703519519175
2009-09-01;1.7498471031139982;19.747981669318126;45265.24268118304;48730.73332164198;17.755107177466925
2009-10-01;1.7866906464623453;20.040655622398067;46605.35261359691;48991.53695871172;17.887709836420594
2009-11-01;1.7780437922129446;20.391493366744506;46284.91570015186;48959.33532498812;18.039621453754336
2009-12-01;1.7946680178244783;20.728386572699556;48938.161779556685;50509.88817957655;18.297040003381277
2010-01-01;1.8124110449941448;21.02067358889005;48999.97008523353;51155.866807512124;18.83180030385002
2010-02-01;1.7358482642019928;21.174639972248563;50072.86934768278;51677.581980347575;19.103938736747153
2010-03-01;1.7387005929170756;21.506432638950354;50407.291954183755;53376.44362509475;19.679552367487776
2010-04-01;1.7926333348284837;21.592847352286565;51244.63305810923;53404.858633501;20.09303160603352
2010-05-01;1.769832779102761;21.42426801895189;51681.36457999274;54825.165695863;19.951960688480845
2010-06-01;1.7869075776410117;21.260060263192656;51161.36129642369;56214.60178789079;19.761321201730894
2010-07-01;1.7509032159305382;20.79190173966201;50364.02151822594;56063.04686593728;19.746801979106756
2010-08-01;1.6814096345883751;20.41107003374043;49946.91150671373;53432.715105438256;18.81694229718003
2010-09-01;1.7138221578233637;20.77655615549564;49582.71356736858;53431.86003285298;18.635456233683968
2010-10-01;1.755570255586403;20.951434047375102;51094.301754493215;53516.89662715228;18.744786786948204
2010-11-01;1.6956274286254356;21.267619707389073;50469.11985780802;53515.647512699936;18.856874765622802
