Data,Cultivo,Estadual,País,Id,Último,Abertura,Máxima,Mínima,USD,Precipitacao,Temperatura,lag_Estadual,predict_Estadual,model
2004-03-01,Soja,45.3777,50.0455,0,1.034,1.0,1.064,92600.0,2.9054565217391306,175.4,24.9,45.3777,,ARIMA
2004-04-01,Soja,45.9456,48.7279,0,81400.0,1.036,1.063,81200.0,2.9059850000000003,175.4,24.5,45.3777,,ARIMA
2004-05-01,Soja,44.8723,47.493,0,89300.0,82800.0,94000.0,0.0,3.100419047619048,23.0,21.7,45.9456,,ARIMA
2004-06-01,Soja,38.5913,40.7781,0,59950.0,89200.0,1.035,59900.0,3.1291476190476186,18.8,22.1,44.8723,,ARIMA
2004-07-01,Soja,34.0818,37.5474,0,62725.0,59100.0,71200.0,56500.0,3.0367772727272726,38.0,22.2,38.5913,,ARIMA
2004-08-01,Soja,31.8333,34.9411,0,52700.0,62500.0,64850.0,52150.0,3.0029136363636364,18.4,24.2,34.0818,,ARIMA
2004-09-01,Soja,31.9363,35.5496,0,52750.0,52775.0,54500.0,50600.0,2.891147619047619,42.0,25.4,31.8333,,ARIMA
2004-10-01,Soja,30.9464,32.2154,0,53475.0,52500.0,56200.0,50100.0,2.852855,132.0,25.4,31.9363,,ARIMA
2004-11-01,Soja,30.0,31.9385,0,54775.0,53475.0,56600.0,51750.0,2.78604,225.6,24.6,30.9464,,ARIMA
2005-01-01,Soja,27.8989,29.8087,0,51475.0,54600.0,56300.0,50900.0,2.7181608695652173,173.8,24.5,30.0,,ARIMA
2005-02-01,Soja,24.1523,27.3999,0,61550.0,51525.0,61850.0,49850.0,2.6930238095238095,153.8,24.1,27.8989,,ARIMA
2005-03-01,Soja,28.184,31.118,0,62750.0,61100.0,69175.0,60150.0,2.597838888888889,287.4,24.5,24.1523,,ARIMA
2005-04-01,Soja,26.4077,30.2204,0,61925.0,63000.0,64950.0,60200.0,2.7047363636363637,287.4,24.5,28.184,,ARIMA
2005-05-01,Soja,25.92,28.357,0,68025.0,61500.0,68700.0,60200.0,2.57918,287.4,25.5,26.4077,,ARIMA
2005-06-01,Soja,25.4833,29.0678,0,65175.0,67675.0,75750.0,64700.0,2.452814285714286,287.4,25.5,25.92,,ARIMA
2005-07-01,Soja,25.6543,28.587,0,67175.0,65650.0,73800.0,65575.0,2.4135136363636365,287.4,25.5,25.4833,,ARIMA
2005-08-01,Soja,24.0253,27.878,0,58675.0,67800.0,69400.0,58400.0,2.3735095238095236,287.4,25.5,25.6543,,ARIMA
2005-09-01,Soja,22.292,26.463,0,57325.0,58900.0,60750.0,55650.0,2.3606304347826086,287.4,25.5,24.0253,,ARIMA
2005-10-01,Soja,21.7946,25.039,0,56475.0,57275.0,59950.0,55400.0,2.2944095238095237,287.4,25.5,22.292,,ARIMA
2005-11-01,Soja,21.5596,24.4693,0,55800.0,56500.0,60275.0,54425.0,2.25645,287.4,25.5,21.7946,,ARIMA
2005-12-01,Soja,22.6356,25.3932,0,60200.0,55800.0,61950.0,55350.0,2.2108350000000003,287.4,25.5,21.5596,,ARIMA
2006-01-01,Soja,22.3239,25.7087,0,59425.0,60800.0,62200.0,56100.0,2.285481818181818,287.4,25.5,22.6356,,ARIMA
2006-02-01,Soja,19.884,24.5111,0,58025.0,59300.0,60450.0,56800.0,2.273868181818182,287.4,25.5,22.3239,,ARIMA
2006-03-01,Soja,18.0265,22.7376,0,57150.0,58000.0,59400.0,57000.0,2.161922222222222,287.4,25.5,19.884,,ARIMA
2006-04-01,Soja,17.3838,22.0104,0,58725.0,57050.0,59800.0,55325.0,2.1519608695652175,287.4,25.5,18.0265,,ARIMA
2006-05-01,Soja,18.7911,22.7371,0,57950.0,58500.0,61700.0,57750.0,2.1292888888888886,287.4,25.5,17.3838,,ARIMA
2006-06-01,Soja,20.618,23.9619,0,59475.0,58025.0,61100.0,56650.0,2.1781,287.4,25.5,18.7911,,ARIMA
2006-07-01,Soja,20.7268,23.7472,0,57950.0,60250.0,61250.0,57100.0,2.2482904761904763,287.4,25.5,20.618,,ARIMA
2006-08-01,Soja,18.8522,23.3694,0,54225.0,57800.0,58700.0,53550.0,2.1892809523809524,287.4,25.5,20.7268,,ARIMA
2006-09-01,Soja,18.6629,23.1931,0,54750.0,54200.0,56175.0,52650.0,2.155882608695652,287.4,25.5,18.8522,,ARIMA
2006-10-01,Soja,20.1005,24.9539,0,63025.0,54725.0,64300.0,54050.0,2.168745,287.4,25.5,18.6629,,ARIMA
2006-11-01,Soja,22.3133,27.6505,0,68550.0,63000.0,69575.0,62825.0,2.1482809523809525,287.4,24.6,20.1005,,ARIMA
2006-12-01,Soja,24.6132,28.3921,0,68350.0,68600.0,68750.0,64275.0,2.1579,111.2,25.4,22.3133,,ARIMA
2007-01-01,Soja,23.4044,27.7059,0,71950.0,68150.0,73200.0,64550.0,2.14992,236.6,24.2,24.6132,,ARIMA
2007-02-01,Soja,24.2,28.3438,0,77325.0,71950.0,79100.0,71750.0,2.1384772727272727,212.4,24.6,23.4044,,ARIMA
2007-03-01,Soja,23.822,28.1665,0,76125.0,77300.0,77900.0,72450.0,2.09625,212.4,24.1,24.2,,ARIMA
2007-04-01,Soja,22.1877,26.7123,0,72850.0,75650.0,78700.0,70850.0,2.0886772727272724,288.6,24.9,23.822,,ARIMA
2007-05-01,Soja,22.7513,26.4346,0,80625.0,72850.0,81600.0,72200.0,2.032035,60.0,24.9,22.1877,,ARIMA
2007-06-01,Soja,23.2932,27.0199,0,85000.0,80750.0,87850.0,79175.0,1.9816136363636365,46.4,22.4,22.7513,,ARIMA
2007-07-01,Soja,24.214,27.4488,0,83400.0,85425.0,91500.0,80875.0,1.93187,0.0,23.3,23.2932,,ARIMA
2007-08-01,Soja,26.49,29.6467,0,86800.0,83450.0,88050.0,78900.0,1.8828181818181817,14.0,23.1,24.214,,ARIMA
