Data;Cultivo;Estadual;País;Id;Último;Abertura;Máxima;Mínima
2024-09-01;Milho;51.7376;54.5639;1;41562.0;40038.0;41962.0;39710.0
2024-08-01;Milho;50.5215;52.6634;1;37800.0;38250.0;39300.0;36050.0
2024-07-01;Milho;49.2374;51.438;1;38275.0;39725.0;41200.0;38100.0
2024-06-01;Milho;50.4852;52.5458;1;39725.0;44575.0;46050.0;39050.0
2024-05-01;Milho;50.4026;52.4263;1;45400.0;44675.0;48375.0;44375.0
2024-04-01;Milho;49.0614;51.9195;1;44675.0;45450.0;45450.0;43575.0
2024-03-01;Milho;47.6011;52.2548;1;45450.0;42925.0;46000.0;42200.0
2024-02-01;Milho;49.6318;53.6953;1;41575.0;44800.0;44875.0;39450.0
2024-01-01;Milho;50.8377;57.7398;1;45850.0;48300.0;48375.0;44750.0
2023-12-01;Milho;50.4828;56.4685;1;47125.0;46025.0;48400.0;45500.0
2023-11-01;Milho;45.9451;50.2974;1;46175.0;47875.0;48125.0;44700.0
2023-10-01;Milho;45.0628;48.1146;1;47875.0;47700.0;50950.0;47600.0
2023-09-01;Milho;44.1161;47.732;1;47675.0;46100.0;49000.0;45575.0
2023-08-01;Milho;45.6142;47.3019;1;46100.0;50400.0;51225.0;45900.0
2023-07-01;Milho;46.5763;47.8528;1;50400.0;55850.0;61475.0;49525.0
2023-06-01;Milho;47.3638;48.9555;1;55450.0;59400.0;67250.0;55200.0
2023-05-01;Milho;50.6014;54.8718;1;59300.0;58330.0;65625.0;54710.0
2023-04-01;Milho;66.3833;67.8892;1;63600.0;65950.0;68250.0;57200.0
2023-03-01;Milho;75.1678;74.7812;1;66050.0;63000.0;66450.0;61825.0
2023-02-01;Milho;76.4878;76.9355;1;62950.0;67925.0;68825.0;62925.0
2023-01-01;Milho;77.4008;78.2239;1;67975.0;67725.0;68875.0;64825.0
2022-12-01;Milho;75.7348;77.3115;1;67850.0;66175.0;68500.0;62300.0
2022-11-01;Milho;77.4235;78.214;1;66200.0;68900.0;69850.0;65125.0
2022-10-01;Milho;77.0773;77.9566;1;69150.0;68000.0;70650.0;67150.0
2022-09-01;Milho;76.7354;78.1342;1;67750.0;67100.0;72500.0;65500.0
2022-08-01;Milho;76.0322;76.63;1;67375.0;61975.0;68425.0;58300.0
2022-07-01;Milho;76.2229;76.4775;1;61625.0;74800.0;80000.0;56150.0
2022-06-01;Milho;80.8664;79.7446;1;74375.0;75375.0;80000.0;72050.0
2022-05-01;Milho;81.317;81.656;1;75350.0;81150.0;82200.0;74725.0
2022-04-01;Milho;80.0222;82.1676;1;81825.0;74850.0;82700.0;73025.0
2022-03-01;Milho;93.6815;89.6562;1;74875.0;69975.0;80000.0;69975.0
2022-02-01;Milho;91.6741;89.4574;1;69750.0;62600.0;71875.0;61025.0
2022-01-01;Milho;87.2222;86.186;1;62600.0;59900.0;64250.0;58475.0
2021-12-01;Milho;80.5104;79.5058;1;59325.0;56800.0;61775.0;56700.0
2021-11-01;Milho;78.6501;79.5924;1;56700.0;56800.0;58900.0;54775.0
2021-10-01;Milho;85.2321;83.04;1;56825.0;53675.0;56925.0;50675.0
2021-09-01;Milho;86.501;85.3425;1;53675.0;53400.0;54850.0;48775.0
2021-08-01;Milho;93.0999;89.089;1;53400.0;54725.0;58950.0;52400.0
2021-07-01;Milho;83.8044;83.7149;1;54700.0;71975.0;75050.0;53675.0
2021-06-01;Milho;81.4832;82.3523;1;72000.0;66600.0;74325.0;62950.0
2021-05-01;Milho;93.3588;88.8299;1;65675.0;74000.0;77500.0;60275.0
2021-04-01;Milho;86.8807;82.6983;1;74000.0;57500.0;74625.0;54975.0
2021-03-01;Milho;76.6977;76.678;1;56425.0;56050.0;57125.0;53275.0
2021-02-01;Milho;73.2453;75.2972;1;55550.0;54900.0;57425.0;52475.0
2021-01-01;Milho;70.3659;72.5824;1;54700.0;48725.0;55375.0;47950.0
2020-12-01;Milho;64.7903;69.206;1;48400.0;42000.0;48575.0;40900.0
2020-11-01;Milho;67.7848;72.0206;1;41975.0;39600.0;43050.0;39300.0
2020-10-01;Milho;57.236;60.4194;1;39850.0;37900.0;42225.0;37725.0
2020-09-01;Milho;50.0149;51.5842;1;37900.0;34775.0;38275.0;34325.0
2020-08-01;Milho;45.2704;45.8405;1;34850.0;31500.0;35300.0;30725.0
2020-07-01;Milho;41.5048;41.9979;1;31600.0;33850.0;35650.0;31450.0
2020-06-01;Milho;39.541;41.3377;1;33850.0;32550.0;34200.0;31350.0
