Data,Estadual,País,USD,Previsão,Cultivo,model
2011-10-01,38.90,41.32,1.77,0.00,Soja,PROPHET
2011-11-01,37.78,40.81,1.79,0.00,Soja,PROPHET
2011-12-01,38.88,41.97,1.84,0.00,Soja,PROPHET
2012-01-01,38.54,42.29,1.79,0.00,Soja,PROPHET
2012-02-01,43.74,45.81,1.72,0.00,Soja,PROPHET
2012-03-01,49.05,50.96,1.80,0.00,Soja,PROPHET
2012-04-01,53.75,53.98,1.85,0.00,Soja,PROPHET
2012-05-01,58.04,56.67,1.99,0.00,Soja,PROPHET
2012-06-01,66.83,65.18,2.05,0.00,Soja,PROPHET
2012-07-01,71.19,71.85,2.03,0.00,Soja,PROPHET
2012-08-01,72.55,75.01,2.03,0.00,Soja,PROPHET
2012-09-01,67.65,69.36,2.03,0.00,Soja,PROPHET
2012-10-01,66.41,66.99,2.03,0.00,Soja,PROPHET
2012-11-01,65.57,66.80,2.07,0.00,Soja,PROPHET
2012-12-01,53.45,60.11,2.08,0.00,Soja,PROPHET
2013-01-01,47.72,56.73,2.03,0.00,Soja,PROPHET
2013-02-01,45.33,54.25,1.97,0.00,Soja,PROPHET
2013-03-01,43.35,51.26,1.98,0.00,Soja,PROPHET
2013-04-01,48.27,52.75,2.00,0.00,Soja,PROPHET
2013-05-01,54.33,58.30,2.03,0.00,Soja,PROPHET
2013-06-01,54.30,60.08,2.17,0.00,Soja,PROPHET
2013-07-01,54.64,59.05,2.25,0.00,Soja,PROPHET
2013-08-01,59.05,63.17,2.34,0.00,Soja,PROPHET
2013-09-01,59.65,63.44,2.27,0.00,Soja,PROPHET
2013-10-01,61.71,64.85,2.19,0.00,Soja,PROPHET
2013-11-01,61.91,65.19,2.30,0.00,Soja,PROPHET
2013-12-01,55.07,61.89,2.35,0.00,Soja,PROPHET
2014-01-01,53.78,61.32,2.38,0.00,Soja,PROPHET
2014-02-01,55.12,62.84,2.38,0.00,Soja,PROPHET
2014-03-01,55.64,61.42,2.33,0.00,Soja,PROPHET
2014-04-01,57.38,61.45,2.23,0.00,Soja,PROPHET
2014-05-01,57.36,61.40,2.22,0.00,Soja,PROPHET
2014-06-01,55.03,57.80,2.24,0.00,Soja,PROPHET
2014-07-01,56.43,57.56,2.22,0.00,Soja,PROPHET
2014-08-01,53.71,54.15,2.27,0.00,Soja,PROPHET
2014-09-01,53.62,54.20,2.33,0.00,Soja,PROPHET
2014-10-01,56.62,57.47,2.45,0.00,Soja,PROPHET
2014-11-01,56.53,58.52,2.55,0.00,Soja,PROPHET
2014-12-01,53.25,56.69,2.64,0.00,Soja,PROPHET
2015-01-01,51.14,55.67,2.63,0.00,Soja,PROPHET
2015-02-01,55.71,60.02,2.82,0.00,Soja,PROPHET
2015-03-01,55.36,59.12,3.14,0.00,Soja,PROPHET
2015-04-01,54.08,57.26,3.04,0.00,Soja,PROPHET
2015-05-01,54.30,57.96,3.06,0.00,Soja,PROPHET
2015-06-01,57.26,61.56,3.11,0.00,Soja,PROPHET
2015-07-01,59.75,64.81,3.22,0.00,Soja,PROPHET
2015-08-01,65.72,69.06,3.51,0.00,Soja,PROPHET
2015-09-01,67.88,72.06,3.91,0.00,Soja,PROPHET
2015-10-01,65.43,71.21,3.88,0.00,Soja,PROPHET
2015-11-01,65.23,70.21,3.78,0.00,Soja,PROPHET
2015-12-01,66.76,71.67,3.87,0.00,Soja,PROPHET
2016-01-01,62.99,70.15,4.05,0.00,Soja,PROPHET
2016-02-01,58.94,65.52,3.97,0.00,Soja,PROPHET
2016-03-01,61.51,65.06,3.70,0.00,Soja,PROPHET
2016-04-01,73.75,72.32,3.57,0.00,Soja,PROPHET
2016-05-01,83.20,80.70,3.54,0.00,Soja,PROPHET
2016-06-01,75.24,76.10,3.42,0.00,Soja,PROPHET
2016-07-01,71.22,70.97,3.28,0.00,Soja,PROPHET
2016-08-01,70.64,70.56,3.21,0.00,Soja,PROPHET
2016-09-01,71.08,69.53,3.26,0.00,Soja,PROPHET
2016-10-01,67.49,69.11,3.19,0.00,Soja,PROPHET
2016-11-01,65.45,69.94,3.34,0.00,Soja,PROPHET
2016-12-01,62.30,67.18,3.35,0.00,Soja,PROPHET
2017-01-01,58.88,64.27,3.20,0.00,Soja,PROPHET
2017-02-01,55.73,61.42,3.10,0.00,Soja,PROPHET
2017-03-01,51.01,55.75,3.13,0.00,Soja,PROPHET
2017-04-01,54.46,57.92,3.14,0.00,Soja,PROPHET
2017-05-01,54.41,58.30,3.21,0.00,Soja,PROPHET
2017-06-01,56.14,60.31,3.30,0.00,Soja,PROPHET
2017-07-01,54.08,58.54,3.21,0.00,Soja,PROPHET
2017-08-01,55.61,58.90,3.15,0.00,Soja,PROPHET
2017-09-01,57.44,60.40,3.13,0.00,Soja,PROPHET
2017-10-01,58.85,62.46,3.19,0.00,Soja,PROPHET
2017-11-01,59.02,63.35,3.26,0.00,Soja,PROPHET
2017-12-01,57.58,61.95,3.29,0.00,Soja,PROPHET
2018-01-01,58.93,62.41,3.21,0.00,Soja,PROPHET
2018-02-01,62.99,67.28,3.24,0.00,Soja,PROPHET
2018-03-01,67.80,72.28,3.28,0.00,Soja,PROPHET
2018-04-01,70.79,74.33,3.41,0.00,Soja,PROPHET
2018-05-01,71.61,72.07,3.64,0.00,Soja,PROPHET
2018-06-01,69.96,73.84,3.77,0.00,Soja,PROPHET
2018-07-01,71.62,75.86,3.83,0.00,Soja,PROPHET
2018-08-01,74.56,79.53,3.93,0.00,Soja,PROPHET
2018-09-01,71.95,77.86,4.12,0.00,Soja,PROPHET
2018-10-01,67.35,74.03,3.76,0.00,Soja,PROPHET
2018-11-01,66.00,72.16,3.79,0.00,Soja,PROPHET
2018-12-01,62.22,69.28,3.89,0.00,Soja,PROPHET
2019-01-01,62.38,67.59,3.74,0.00,Soja,PROPHET
2019-02-01,64.10,69.13,3.72,0.00,Soja,PROPHET
2019-03-01,63.82,67.68,3.85,0.00,Soja,PROPHET
2019-04-01,63.16,66.16,3.90,0.00,Soja,PROPHET
2019-05-01,65.23,70.15,4.00,0.00,Soja,PROPHET
2019-06-01,63.97,68.43,3.86,0.00,Soja,PROPHET
2019-07-01,69.44,71.63,3.78,0.00,Soja,PROPHET
2019-08-01,73.74,75.77,4.02,0.00,Soja,PROPHET
2019-09-01,74.51,76.95,4.12,0.00,Soja,PROPHET
2019-10-01,76.91,78.01,4.09,0.00,Soja,PROPHET
2019-11-01,77.66,78.68,4.16,0.00,Soja,PROPHET
2019-12-01,74.70,77.48,4.11,0.00,Soja,PROPHET
2020-01-01,73.45,76.64,4.15,0.00,Soja,PROPHET
2020-02-01,79.89,81.88,4.34,0.00,Soja,PROPHET
2020-03-01,87.67,87.71,4.88,0.00,Soja,PROPHET
2020-04-01,95.63,94.78,5.33,0.00,Soja,PROPHET
2020-05-01,95.61,95.83,5.64,0.00,Soja,PROPHET
2020-06-01,104.06,102.93,5.20,0.00,Soja,PROPHET
2020-07-01,117.02,113.34,5.28,110.96,Soja,PROPHET
2020-08-01,117.02,113.34,5.28,111.14,Soja,PROPHET
