ds,y,País,USD,yhat,id
2020-08-01,117.0222,113.3375,5.280191304347826,111.13929047245082,0
2020-09-01,130.8449,128.3004,5.461233333333333,128.1753417262213,0
2020-10-01,156.7972,147.4121,5.399485714285714,147.8636544523958,0
2020-11-01,169.1946,157.3982,5.625790476190476,160.3873297246393,0
2020-12-01,147.9145,140.9301,5.417835,145.8995437186182,0
2021-01-01,147.6618,148.7721,5.145586363636364,148.65709165158927,0
2021-02-01,150.3854,154.5318,5.356245,153.06587363216516,0
2021-03-01,156.5591,158.7933,5.416494444444444,158.32984713490373,0
2021-04-01,160.8866,163.2929,5.646147826086957,163.99275265493458,0
2021-05-01,162.8333,164.071,5.562135,166.77456602327564,0
2021-06-01,149.7397,152.1141,5.291057142857143,156.16820049613824,0
2021-07-01,153.2396,151.7851,5.031904761904762,153.50270672339246,0
2021-08-01,164.3178,158.4395,5.156704545454546,159.89173039387194,0
2021-09-01,163.2808,159.3011,5.251718181818182,162.52827451273072,0
2021-10-01,159.1253,160.0081,5.279690476190477,163.1757833826235,0
2021-11-01,150.7073,156.2219,5.53998,159.32637674525768,0
2021-12-01,147.7805,158.5404,5.55686,159.54073787318978,0
2022-01-01,157.6591,168.3471,5.651391304347826,166.78363457015274,0
2022-02-01,172.8668,183.7549,5.534104761904762,181.24056389575716,0
2022-03-01,179.2949,191.9989,5.196578947368421,191.14756882569716,0
2022-04-01,163.8339,175.3033,4.968381818181818,177.41779538418382,0
2022-05-01,169.6312,179.881,4.758015789473684,180.89414671315825,0
2022-06-01,167.0821,177.164,4.95505,179.31689296428323,0
2022-07-01,162.7612,173.1207,5.049209523809524,175.15557488561916,0
2022-08-01,160.7707,170.1701,5.368071428571429,172.4345282031576,0
2022-09-01,160.6848,169.2618,5.143286956521739,171.4947046626855,0
2022-10-01,160.1337,167.2148,5.236957142857143,169.16961293178633,0
2022-11-01,166.4214,170.1859,5.2503,171.587877880501,0
2022-12-01,161.2294,167.8738,5.274649999999999,169.95808498473986,0
2023-01-01,153.8375,164.8989,5.242431818181818,165.55824242757774,0
2023-02-01,146.9514,159.6227,5.200681818181819,159.5015270764413,0
2023-03-01,140.0883,151.7918,5.171688888888889,151.934439729253,0
2023-04-01,125.2306,135.929,5.211460869565218,137.19648108823532,0
2023-05-01,112.0696,122.0503,5.019733333333333,124.09035337397852,0
2023-06-01,107.7732,119.3202,4.982836363636364,119.97240012310432,0
2023-07-01,110.8743,126.516,4.851566666666667,125.88063033604502,0
2023-08-01,117.4026,130.7555,4.800833333333333,130.8004666197521,0
2023-09-01,119.2491,130.9774,4.903543478260869,131.96024108027592,0
2023-10-01,119.6291,128.0043,4.93699,128.36858644981857,0
2023-11-01,121.2374,130.5401,5.064842857142857,130.44628497979173,0
2023-12-01,122.9548,130.4195,4.89834,130.5165866179972,0
2024-01-01,107.7371,116.9254,4.897245,117.75880110687902,0
2024-02-01,97.6436,105.3475,4.914395454545455,105.29431094204377,0
2024-03-01,103.2496,106.5652,4.964389473684211,105.00073461863384,0
2024-04-01,108.1828,113.1347,4.980135,112.52604206383928,0
2024-05-01,114.0022,118.2335,5.129095454545455,119.49362662149228,0
2024-06-01,118.9727,121.3981,5.133047619047619,123.0865865182178,0
2024-07-01,120.0369,121.7345,5.388975,123.2858020977656,0
2024-08-01,117.5516,119.2007,5.542047826086956,120.02387355806916,0
2024-09-01,123.7153,123.6574,5.5526136363636365,124.90974224818824,0
2024-10-01 00:00:00,0.0,95.2855248689504,5.682627517627892,96.18399645195484,0
2024-11-01 00:00:00,0.0,95.7992059752554,5.761510454154982,96.82243002320962,0
2024-12-01 00:00:00,0.0,95.95707554563256,5.822901353108311,95.81795096355876,0
2025-01-01 00:00:00,0.0,94.86986781600392,5.861650036487242,93.37662862094116,0
2025-02-01 00:00:00,0.0,93.55150607143946,5.739840118005764,90.99596990550464,0
2025-03-01 00:00:00,0.0,96.02946357502398,5.83929016776742,94.2845357999472,0
