ds,y,País,USD,yhat
2020-08-01,56.9863,56.196,5.280191304347826,60.793005384239464
2020-09-01,59.8474,58.5133,5.461233333333333,62.306689101129294
2020-10-01,65.6995,66.6685,5.399485714285714,69.36491039471842
2020-11-01,75.3144,77.126,5.625790476190476,79.48000699060931
2020-12-01,69.5309,70.0093,5.417835,78.08046727341622
2021-01-01,69.7542,72.0194,5.1455863636363635,76.11592310503006
2021-02-01,75.0924,76.0532,5.3562449999999995,80.60974868433405
2021-03-01,77.8716,78.5283,5.416494444444444,84.1570372396815
2021-04-01,84.5177,81.4105,5.646147826086957,87.76366406228136
2021-05-01,86.8749,84.4425,5.562135,91.86230380013164
2021-06-01,80.3345,81.0717,5.291057142857143,89.93093699828127
2021-07-01,78.7582,78.1871,5.031904761904762,85.22486089669522
2021-08-01,86.2675,82.3377,5.156704545454546,87.83836756027854
2021-09-01,87.0757,82.3831,5.251718181818182,90.54650258081179
2021-10-01,87.3113,82.828,5.279690476190477,91.13278917761455
2021-11-01,87.4379,84.0226,5.53998,92.37108916081797
2021-12-01,87.9916,84.3193,5.5568599999999995,92.80868459584043
2022-01-01,88.7126,85.529,5.651391304347826,93.34378842456101
2022-02-01,89.0057,86.4528,5.534104761904762,95.4476390741972
2022-03-01,95.6921,95.7739,5.196578947368421,101.00152294823673
2022-04-01,94.1273,94.4438,4.968381818181818,102.27689980410055
2022-05-01,96.7208,103.0121,4.758015789473684,107.72602345602064
2022-06-01,104.9986,109.4711,4.95505,114.97484670652781
2022-07-01,108.9586,112.1541,5.049209523809524,119.20490280766938
2022-08-01,109.498,105.5665,5.368071428571429,115.91452177261647
2022-09-01,97.3042,95.0926,5.143286956521739,108.51217926685962
2022-10-01,92.478,93.3682,5.236957142857143,102.42422246679737
2022-11-01,99.1789,93.7574,5.2503,101.00778170504364
2022-12-01,94.5878,87.1659,5.274649999999999,98.86796579834333
2023-01-01,91.8808,82.9182,5.242431818181818,94.11621546003761
2023-02-01,88.7906,81.5483,5.200681818181819,92.51764167293803
2023-03-01,87.8728,81.5804,5.171688888888889,91.35806451841927
2023-04-01,81.1515,78.0305,5.211460869565218,87.79294179377777
2023-05-01,69.9096,68.9449,5.019733333333333,78.72699637361674
2023-06-01,66.1334,65.6799,4.9828363636363635,72.28739416307656
2023-07-01,66.1583,66.4136,4.851566666666667,71.50354873474649
2023-08-01,64.1405,65.1631,4.800833333333333,70.05747091156917
2023-09-01,52.5232,56.6561,4.903543478260869,63.221123276632106
2023-10-01,50.9543,51.5039,4.93699,54.75144995943178
2023-11-01,63.5847,60.8118,5.064842857142857,61.23456787141308
2023-12-01,65.5408,64.1894,4.89834,68.40860349349886
2024-01-01,65.0128,63.4706,4.897245,69.30670270397731
2024-02-01,64.3794,62.9513,4.9143954545454545,68.76140943809534
2024-03-01,62.4906,61.4674,4.964389473684211,67.21047670927052
2024-04-01,62.774,61.7935,4.980135,67.42723132254187
2024-05-01,68.0659,65.2951,5.129095454545455,69.61174869346301
2024-06-01,74.1798,69.6117,5.133047619047619,73.92413883583333
2024-07-01,74.2311,70.3762,5.388975,76.56994174984729
2024-08-01,74.3887,70.6659,5.542047826086956,77.30916488908039
2024-09-01,77.0124,71.5292,5.5526136363636365,77.75638630041149
2024-10-01 00:00:00,0.0,52.27475433230898,5.682627517627892,56.504379419546865
2024-11-01 00:00:00,0.0,52.09724551582412,5.761510454154982,56.54554316400366
2024-12-01 00:00:00,0.0,52.202205659589886,5.8229013531083105,56.77641011678358
2025-01-01 00:00:00,0.0,53.239914226353356,5.861650036487242,56.27191812813785
2025-02-01 00:00:00,0.0,51.81479167310058,5.739840118005764,56.60513455308251
2025-03-01 00:00:00,0.0,53.38396732771486,5.83929016776742,58.11965350176466
2025-04-01 00:00:00,0.0,54.420545672887435,5.8911143956431475,59.26930858750892
2025-05-01 00:00:00,0.0,55.295892224098324,5.929940348586642,59.909324110125326
2025-06-01 00:00:00,0.0,55.717670509016315,5.993920655919183,60.14788778651817
2025-07-01 00:00:00,0.0,55.775476415079126,5.97799327764719,60.16778838122539
2025-08-01 00:00:00,0.0,54.84285237576838,5.91257958279846,59.380380399907544
2025-09-01 00:00:00,0.0,54.916594142493544,5.953368097485062,59.204165140746376
2025-10-01 00:00:00,0.0,54.56675846655307,6.021860375693352,58.80393118742266
2025-11-01 00:00:00,0.0,54.23064872714374,6.045917214132887,58.649321902722505
2025-12-01 00:00:00,0.0,54.282701010787946,6.09419017460413,58.79304551786805
2026-01-01 00:00:00,0.0,55.153339171383536,6.144435917953552,58.84082942106579
2026-02-01 00:00:00,0.0,54.58584121713467,6.100375853341017,59.41865730956755
2026-03-01 00:00:00,0.0,55.37388760396664,6.132585474089507,60.30739697181548
2026-04-01 00:00:00,0.0,56.64295541360544,6.219020932180626,61.28412813855703
2026-05-01 00:00:00,0.0,57.55613282597144,6.227674617919489,62.19958237081225
2026-06-01 00:00:00,0.0,57.8683591697903,6.277252132638181,62.55226950487025
2026-07-01 00:00:00,0.0,57.79128079865279,6.269313306233983,62.58117935559885
2026-08-01 00:00:00,0.0,57.21715748510468,6.228820778042888,61.78977384590334
2026-09-01 00:00:00,0.0,57.31210650780615,6.290234354428923,61.75777629318256
